,pair_of_objects,cause_directions,confounders,confidences
777,produce // market,"['x-to-y', 'y-to-x', 'y-to-x', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
778,tire // car,"['y-to-x', 'y-to-x', 'y-to-x', 'x-to-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
779,butter // pancakes,"['x-to-y', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","['', 'Breakfast', '', '', '']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
780,tissue // alarm clock,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['morning', '?', '?', '?', 'morning']","['confidence_2', 'confidence_1', 'confidence_1', 'confidence_3', 'confidence_2']"
781,potato // veggie,"['z-to-xy', 'z-to-xy', 'y-to-x', 'x-to-y', 'z-to-xy']","['?', 'Dinner', '', '', 'agriculture']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_2']"
782,cupboard // burners,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['kitchen', 'Kitchen', 'kitchen', '?', 'kitchen']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_2']"
783,"stove top,stovetop // burner","['x-is-y', 'x-to-y', 'x-to-y', 'x-is-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
784,sock // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
785,socks // man,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
786,"stop // stop sign,stopsign","['x-is-y', 'x-is-y', 'y-to-x', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
787,roof // tree,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['?', '?', '', 'indoor/outdoor', 'outdoor scene']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
788,plain // giraffes,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_3']"
789,dial // control panel,"['y-to-x', 'z-to-xy', 'y-to-x', 'z-to-xy', 'y-to-x']","['', '?', '', 'devices', '']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_3']"
790,socket // trash bin,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', '?', 'building', 'indoor scene']","['confidence_1', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
791,grass // woman,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['?', '?', '', '?', 'picnic']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_3']"
792,"sidewalk,side walk // person","['x-to-y', 'z-to-xy', 'y-to-x', 'y-to-x', 'z-to-xy']","['', '?', '', '', 'city street']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_3']"
793,tusks // elephants,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
794,computers // mousepad,"['z-to-xy', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['Wired Mouse ', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
795,french fry // french fries,"['z-to-xy', 'x-to-y', 'x-is-y', 'x-is-y', 'x-is-y']","['Fast food', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
796,rock // ground,"['z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['Mountain ', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
797,block // skateboards,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', '?', 'street', '?']","['confidence_1', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_2']"
798,pants // woman,"['z-to-xy', 'z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x']","[""Woman's attire"", 'Activity', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
799,biscuit // pancakes,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['food items', 'Breakfast', 'cooking', 'dough', '?']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_2']"
800,beard // face,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
801,ham // sandwhich,"['z-to-xy', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['food', '', '?', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
802,condiments // forks,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Food', 'dinner', 'food', 'mealtime']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
803,paper plate // pepperoni,"['z-to-xy', 'z-to-xy', 'x-to-y', 'y-to-x', 'z-to-xy']","['?', 'Pizza', '', '', 'pizzas']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
804,armchair // living room,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
805,burger // french fry,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy']","['', '', 'food', '', 'fast food']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
806,ear // building,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', None]","['?', 'Person', '?', 'people', None]","['confidence_2', 'confidence_1', 'confidence_1', 'confidence_3', None]"
807,landing gear // engines,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', None]","['plane', 'Airplane', 'plane', '', None]","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', None]"
808,trunk // tree,"['z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x', None]","['?', '', '', '', None]","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', None]"
809,herbs // prongs,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', None]","['?', 'Fork', '', 'Steak', None]","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', None]"
810,window // hand,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'Building', '?', '?']","['confidence_3', 'confidence_1', 'confidence_1', 'confidence_3', 'confidence_2']"
811,writing // window,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'People', '?', '?']","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_3', 'confidence_2']"
812,tennis player // match,"['y-to-x', 'y-to-x', 'z-to-xy', 'y-to-x', 'y-to-x']","['', '', 'Sports', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
813,jets // airplanes,"['x-is-y', 'x-is-y', 'z-to-xy', 'x-is-y', 'x-is-y']","['', '', 'Aircrafts', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
814,sandwhich // sandwich,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
815,street // car,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
816,people // shirt,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
817,shirt // helmet,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['body', 'Person', 'person', 'Person', 'outfit']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
818,dress // girl,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
819,boy // woman,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x']","['Gender ', 'school', '?', 'People', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
820,uniform // jersey,"['z-to-xy', 'z-to-xy', 'x-is-y', 'x-to-y', 'x-is-y']","['Cloth', 'player', '', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
821,cement // slab,"['y-to-x', 'y-to-x', 'z-to-xy', 'x-is-y', 'x-to-y']","['', '', '?', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
822,water // beach,"['y-to-x', 'y-to-x', 'x-to-y', 'y-to-x', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
823,radio // cupboard,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Under cabinet radio', 'office', '?', '?', 'House']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_2']"
824,face // woman,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
825,life vest // life jacket,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
826,salt shaker // shakers,"[None, 'x-to-y', 'x-is-y', 'x-is-y', 'x-is-y']","[None, '', '', '', '']","[None, 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_2']"
827,face mask // home plate,"[None, 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","[None, '', '?', 'Umpire', 'Baseball']","[None, 'confidence_1', 'confidence_2', 'confidence_3', 'confidence_2']"
828,tennis // tennis match,"['y-to-x', 'x-to-y', 'y-to-x', 'x-is-y', 'z-to-xy']","['', '', '', '', 'Tennis ball']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
829,face // hair,"['x-to-y', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['', 'head', 'head', '', 'appearance']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
830,lips // player,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'z-to-xy']","['', '', '', '', '?']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_2']"
831,cyclist // biker,"['x-is-y', 'z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y']","['', 'pavement/sand track', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
832,wall // table,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Building', 'house', 'building', 'Room', 'house']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
833,herbs // toast,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['lunch', '', '?', 'Dinner', 'food']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
834,sandwiches // pastries,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['Cafe', 'oven', '?', 'Lunch', 'lunch']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
835,french fry // meal,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_2']"
836,pasta // banana slice,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'lunch/dessert', '?', 'Lunch', 'Food']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
837,head // jacket,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-is-y']","['?', 'person', '?', 'Person', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_3']"
838,"pastries // donuts,doughnuts","['x-is-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'x-is-y']","['', '', '?', '', '']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_3']"
839,sock // shoe,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['feet', '', 'foot', 'Leg', 'Feet']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_3']"
840,sack // train platform,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'luggage', '?', 'Transportation', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
841,pitcher's mound // mound,"['x-is-y', 'x-is-y', 'x-is-y', 'z-to-xy', 'x-is-y']","['', '', '', 'Land', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
842,kickstand // traffic cone,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['traffic', 'motorcycle', '?', 'Transportation', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_3']"
843,trees // house,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', '?', 'Outdoor/Indoor', 'Street']","['confidence_2', 'confidence_1', 'confidence_2', 'confidence_2', 'confidence_3']"
844,officer // policeman,"['x-is-y', 'x-is-y', 'x-is-y', 'z-to-xy', 'x-is-y']","['', '', '', 'Work', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
845,baseball game // mound,"['x-to-y', 'x-to-y', 'y-to-x', 'x-to-y', 'z-to-xy']","['', '', '', '', 'Baseball']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_3']"
846,jersey // man,"['z-to-xy', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['?', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
847,veggies // pastries,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', 'Lunch', 'meal', 'market', 'food']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_1']"
848,coffee maker // coffee pot,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'z-to-xy']","['', '', 'coffee', '', 'coffee']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_2']"
849,computers // computer monitor,"['x-to-y', 'x-to-y', 'y-to-x', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
850,arm // hand,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
851,people // eye,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
852,hand // shirt,"['z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy']","['?', 'Person', '', '', 'person']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_2']"
853,eyes // head,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
854,air vent // tub,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['?', 'Bathroom', '', 'bathroom', 'building']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_3', 'confidence_2']"
855,soap // toiletries,"['z-to-xy', 'y-to-x', 'y-to-x', 'x-is-y', 'x-to-y']","['bathroom', '', '', '', '']","['confidence_2', 'confidence_1', 'confidence_3', 'confidence_2', 'confidence_3']"
856,tea kettle // kettle,"['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'y-to-x']","['', '', '', '', '']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
857,hand // water,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', 'Swimmer', 'Human/water body', '?']","['confidence_1', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_3']"
858,control panel // tea kettle,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['room', '?', 'Stovetop', '', '?']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_1', 'confidence_2']"
859,tree // man,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['', '?', '?', 'nature', '']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_2']"
860,couple // player,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['marriage/match', '?', '?', 'human', '']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_2', 'confidence_2']"
861,jets // planes,"['z-to-xy', 'x-is-y', 'x-is-y', 'z-to-xy', 'z-to-xy']","['group/pair of people', '', '', 'Aircrafts', 'Airport']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
862,garden // player,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['house/field', '?', 'Outside', 'land', '?']","['confidence_2', 'confidence_2', 'confidence_1', 'confidence_1', 'confidence_3']"
863,grass // sky,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'y-to-x']","['earth', '?', '', 'Outside', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
864,finger // hand,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
865,beverage // toast,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['meal', '?', '', 'Breakfast', 'food']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
866,berries // adult,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['?', '?', '', '?', '?']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_1']"
867,nose // head,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
868,jacket // jeans,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['man', 'wear', '?', 'Person', 'person']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
869,bicycles // bikes,"['z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['engine', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
870,side mirror // motorbike,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
871,jacket // sky,"['z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy']","['weather', '?', '', '?', '?']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_1', 'confidence_1']"
872,room // table,"['x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y', 'x-to-y']","['', '', 'location', '', '']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
873,girl // hair,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
874,"hot dogs,hotdogs // hot dog,hotdog","['x-is-y', 'x-is-y', 'x-is-y', 'x-is-y', 'x-is-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
875,meal // rice,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_3']"
876,knobs // burners,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '', 'room', 'stove', 'cooker']","['confidence_2', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
877,writing // tree,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['?', '?', 'location', '?', '?']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_1']"
878,coat // jacket,"['x-is-y', 'x-is-y', 'z-to-xy', 'x-is-y', 'x-is-y']","['', '', 'Occasion', '', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_3', 'confidence_3']"
879,sky // beach,"['z-to-xy', 'y-to-x', 'z-to-xy', 'x-to-y', 'z-to-xy']","['?', '', 'location', '', 'sun']","['confidence_1', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
880,biscuit // tomato slice,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['food ', 'food', 'food', 'Food', 'lunch']","['confidence_3', 'confidence_1', 'confidence_2', 'confidence_1', 'confidence_3']"
881,jet engine // fuselage,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy']","[""Airplane or jet's body parts"", '', 'plane', 'Aircraft', 'plane']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
882,grass // player,"['z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy']","['Soccer ', 'sports', '', 'Play ground', 'golf']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_2', 'confidence_3']"
883,head // shirt,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y']","['mannequin ', 'person', 'person', 'Human', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
884,man // shorts,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', 'x-to-y']","['', '', '', '', '']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_3']"
885,sandwiches // pickles,"['z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy', 'x-to-y']","['Food items ', '', '', 'Food', '']","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', 'confidence_3']"
886,vane // weather vane,"['y-to-x', 'x-is-y', 'x-to-y', 'x-is-y', 'z-to-xy']","['', '', '', '', 'buildings']","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_3']"
887,front // train front,"['y-to-x', 'z-to-xy', 'x-is-y', 'x-is-y', 'z-to-xy']","['', '?', '', '', '?']","['confidence_3', 'confidence_1', 'confidence_1', 'confidence_1', 'confidence_2']"
888,"tail light,taillight // brake light","['z-to-xy', 'x-is-y', 'x-to-y', 'x-is-y', 'x-is-y']","['Lights', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
889,computer screen // computer,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', 'y-to-x']","['', '', '', '', '']","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', 'confidence_3']"
890,fry // french fries,"['z-to-xy', 'x-is-y', 'x-is-y', 'x-is-y', None]","['Fast food', '', '', '', None]","['confidence_3', 'confidence_2', 'confidence_3', 'confidence_3', None]"
891,boy // hair,"['x-to-y', 'x-to-y', 'x-to-y', 'x-to-y', None]","['', '', '', '', None]","['confidence_3', 'confidence_2', 'confidence_2', 'confidence_3', None]"
892,tree // building,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', None]","['Tree covered Skyscraper building ', '', '?', 'Outside', None]","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_2', None]"
893,pots // pans,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', None]","['kitchen utensils', 'Kitchen/garden', '?', 'Kitchen', None]","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', None]"
894,ground // sky,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy', None]","['Wallpaper showing ground, sky and rivers  ', 'Ocean', 'earth', 'Outside', None]","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_2', None]"
895,writing // sky,"['z-to-xy', 'y-to-x', 'z-to-xy', 'z-to-xy', None]","['Story written adoring the sky', '', '?', '?', None]","['confidence_3', 'confidence_1', 'confidence_3', 'confidence_1', None]"
896,lunch // plastic,"['z-to-xy', 'x-to-y', 'z-to-xy', 'z-to-xy', None]","['Poly bag carrying food ', '', '?', '?', None]","['confidence_3', 'confidence_3', 'confidence_2', 'confidence_1', None]"
897,enclosure // zoo,"['y-to-x', 'y-to-x', 'y-to-x', 'y-to-x', None]","['', '', '', '', None]","['confidence_3', 'confidence_3', 'confidence_3', 'confidence_3', None]"
898,window // sign,"['z-to-xy', 'z-to-xy', 'z-to-xy', 'x-to-y', 'z-to-xy']","['business ', '?', 'Shop', '', 'Building']","['confidence_2', 'confidence_2', 'confidence_2', 'confidence_2', 'confidence_1']"
899,hair // sky,"['y-to-x', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', '?', '?', '?']","['confidence_1', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_1']"
900,sky // man,"['x-to-y', 'z-to-xy', 'z-to-xy', 'z-to-xy', 'z-to-xy']","['', '?', '?', '?', '?']","['confidence_1', 'confidence_3', 'confidence_1', 'confidence_3', 'confidence_1']"
901,salt // shakers,"['z-to-xy', 'x-to-y', 'y-to-x', 'x-to-y', 'x-to-y']","['dinner table', '', '', '', '']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_3', 'confidence_2']"
902,fixtures // coffee maker,"['z-to-xy', 'z-to-xy', 'x-to-y', 'x-to-y', 'z-to-xy']","['mechanism', '?', '', '', 'house']","['confidence_2', 'confidence_2', 'confidence_3', 'confidence_1', 'confidence_2']"
903,carts // tarmac,"['y-to-x', 'z-to-xy', 'z-to-xy', 'y-to-x', 'z-to-xy']","['', '?', 'Airport', '', '?']","['confidence_2', 'confidence_3', 'confidence_3', 'confidence_2', 'confidence_1']"
